dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.798863010852385,,,feat_flex2,22727,5073.125638238,True
adult,,,,1.8032495518577578,,,feat_flex2,22727,5073.125638238,False
adult,,,,,,1.880892945059857,feat_flex2,22727,5073.125638238,True
adult,,,,,,1.869540952523629,feat_flex2,22727,5073.125638238,False
adult,,,,,1.883174934423629,,feat_flex2,22727,5073.125638238,True
adult,,,,,1.8712446114749115,,feat_flex2,22727,5073.125638238,False
adult,1.7996077793052558,,,,,,feat_flex2,22727,5073.125638238,True
adult,1.8063208495327419,,,,,,feat_flex2,22727,5073.125638238,False
adult,,,1.88101395582077,,,,feat_flex2,22727,5073.125638238,True
adult,,,1.8702339852987746,,,,feat_flex2,22727,5073.125638238,False
adult,,1.8832756296998632,,,,,feat_flex2,22727,5073.125638238,True
adult,,1.8719600628589528,,,,,feat_flex2,22727,5073.125638238,False
