dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.783656500236256,,,feat_flex2,22727,6313.229125128,True
lawschool,,,,1.7513297472567588,,,feat_flex2,22727,6313.229125128,False
lawschool,,,,,,1.8779204908109903,feat_flex2,22727,6313.229125128,True
lawschool,,,,,,1.8479187039368812,feat_flex2,22727,6313.229125128,False
lawschool,,,,,1.877529165706106,,feat_flex2,22727,6313.229125128,True
lawschool,,,,,1.847378583465344,,feat_flex2,22727,6313.229125128,False
lawschool,1.7847090852368037,,,,,,feat_flex2,22727,6313.229125128,True
lawschool,1.7502988820610619,,,,,,feat_flex2,22727,6313.229125128,False
lawschool,,,1.8789273977894168,,,,feat_flex2,22727,6313.229125128,True
lawschool,,,1.846392249717219,,,,feat_flex2,22727,6313.229125128,False
lawschool,,1.878946245453788,,,,,feat_flex2,22727,6313.229125128,True
lawschool,,1.8473154182411908,,,,,feat_flex2,22727,6313.229125128,False
