dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.849102881345044,,,feat_flex2,27690,7095.286395413,True
communities,,,,1.8233039754710672,,,feat_flex2,27690,7095.286395413,False
communities,,,,,,1.8201715646351437,feat_flex2,27690,7095.286395413,True
communities,,,,,,1.7748393059470915,feat_flex2,27690,7095.286395413,False
communities,,,,,1.8197435720763395,,feat_flex2,27690,7095.286395413,True
communities,,,,,1.7743119422018143,,feat_flex2,27690,7095.286395413,False
communities,1.838859256654072,,,,,,feat_flex2,27690,7095.286395413,True
communities,1.8170166006209871,,,,,,feat_flex2,27690,7095.286395413,False
communities,,,1.8114800400900877,,,,feat_flex2,27690,7095.286395413,True
communities,,,1.7717674158244952,,,,feat_flex2,27690,7095.286395413,False
communities,,1.8110539318623133,,,,,feat_flex2,27690,7095.286395413,True
communities,,1.7712580471149582,,,,,feat_flex2,27690,7095.286395413,False
