dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.7776070296186237,,,feat_flex2,2917,4192.8809699660005,True
lawschool,,,,1.7700115351587333,,,feat_flex2,2917,4192.8809699660005,False
lawschool,,,,,,1.8576730794631273,feat_flex2,2917,4192.8809699660005,True
lawschool,,,,,,1.8620104670617206,feat_flex2,2917,4192.8809699660005,False
lawschool,,,,,1.8574712466260588,,feat_flex2,2917,4192.8809699660005,True
lawschool,,,,,1.8618115763781318,,feat_flex2,2917,4192.8809699660005,False
lawschool,1.7671123144840726,,,,,,feat_flex2,2917,4192.8809699660005,True
lawschool,1.778511837280193,,,,,,feat_flex2,2917,4192.8809699660005,False
lawschool,,,1.847170824996673,,,,feat_flex2,2917,4192.8809699660005,True
lawschool,,,1.8704094673771792,,,,feat_flex2,2917,4192.8809699660005,False
lawschool,,1.8469764464581067,,,,,feat_flex2,2917,4192.8809699660005,True
lawschool,,1.8702255841344395,,,,,feat_flex2,2917,4192.8809699660005,False
