dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
student,,,,1.7288596073075835,,,feat_flex2,32400,2101.393752469,True
student,,,,1.6645535036107426,,,feat_flex2,32400,2101.393752469,False
student,,,,,,1.7738855949024712,feat_flex2,32400,2101.393752469,True
student,,,,,,1.7475439843224145,feat_flex2,32400,2101.393752469,False
student,,,,,1.772641665611176,,feat_flex2,32400,2101.393752469,True
student,,,,,1.7453390402252256,,feat_flex2,32400,2101.393752469,False
student,1.7345101383801704,,,,,,feat_flex2,32400,2101.393752469,True
student,1.6580318712754178,,,,,,feat_flex2,32400,2101.393752469,False
student,,,1.778149672253824,,,,feat_flex2,32400,2101.393752469,True
student,,,1.7397674285264875,,,,feat_flex2,32400,2101.393752469,False
student,,1.7769494805690909,,,,,feat_flex2,32400,2101.393752469,True
student,,1.7374652324800357,,,,,feat_flex2,32400,2101.393752469,False
