dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.69776923908565,,,feat_flex2_nsga2,32400,8041.722001143,True
lawschool,,,,1.6977469382878052,,,feat_flex2_nsga2,32400,8041.722001143,False
lawschool,,,,,,1.7142074014231494,feat_flex2_nsga2,32400,8041.722001143,True
lawschool,,,,,,1.6927803768629266,feat_flex2_nsga2,32400,8041.722001143,False
lawschool,,,,,1.7711822102177497,,feat_flex2_nsga2,32400,8041.722001143,True
lawschool,,,,,1.784380211488095,,feat_flex2_nsga2,32400,8041.722001143,False
lawschool,1.6983157715062702,,,,,,feat_flex2_nsga2,32400,8041.722001143,True
lawschool,1.6983272720873746,,,,,,feat_flex2_nsga2,32400,8041.722001143,False
lawschool,,,1.7146424206188928,,,,feat_flex2_nsga2,32400,8041.722001143,True
lawschool,,,1.6927879820279599,,,,feat_flex2_nsga2,32400,8041.722001143,False
lawschool,,1.771374010616454,,,,,feat_flex2_nsga2,32400,8041.722001143,True
lawschool,,1.7845291333064321,,,,,feat_flex2_nsga2,32400,8041.722001143,False
