dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.8109699528054393,,,feat_flex2_nsga2,8653,8344.058215162,True
communities,,,,1.8010922930080335,,,feat_flex2_nsga2,8653,8344.058215162,False
communities,,,,,,1.7356176963832535,feat_flex2_nsga2,8653,8344.058215162,True
communities,,,,,,1.7065947106345076,feat_flex2_nsga2,8653,8344.058215162,False
communities,,,,,1.7349962224184021,,feat_flex2_nsga2,8653,8344.058215162,True
communities,,,,,1.7060070028494165,,feat_flex2_nsga2,8653,8344.058215162,False
communities,1.8153406546675743,,,,,,feat_flex2_nsga2,8653,8344.058215162,True
communities,1.8059931914166738,,,,,,feat_flex2_nsga2,8653,8344.058215162,False
communities,,,1.7683473466334876,,,,feat_flex2_nsga2,8653,8344.058215162,True
communities,,,1.741141500953903,,,,feat_flex2_nsga2,8653,8344.058215162,False
communities,,1.7677630711804526,,,,,feat_flex2_nsga2,8653,8344.058215162,True
communities,,1.7404087653138622,,,,,feat_flex2_nsga2,8653,8344.058215162,False
