dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.781311243217674,,,feat_flex2_nsga2,9292,5748.148774779,True
adult,,,,1.7521527670069232,,,feat_flex2_nsga2,9292,5748.148774779,False
adult,,,,,,1.8694273688577905,feat_flex2_nsga2,9292,5748.148774779,True
adult,,,,,,1.848427439340053,feat_flex2_nsga2,9292,5748.148774779,False
adult,,,,,1.8702788894415752,,feat_flex2_nsga2,9292,5748.148774779,True
adult,,,,,1.8494364338127256,,feat_flex2_nsga2,9292,5748.148774779,False
adult,1.782012038267968,,,,,,feat_flex2_nsga2,9292,5748.148774779,True
adult,1.7533904868577241,,,,,,feat_flex2_nsga2,9292,5748.148774779,False
adult,,,1.870034233299317,,,,feat_flex2_nsga2,9292,5748.148774779,True
adult,,,1.849821154835975,,,,feat_flex2_nsga2,9292,5748.148774779,False
adult,,1.8704125808486287,,,,,feat_flex2_nsga2,9292,5748.148774779,True
adult,,1.8499482363804791,,,,,feat_flex2_nsga2,9292,5748.148774779,False
