dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.8299370544624716,,,feat_lex,12498,6693.458982925999,True
communities,,,,1.8359487350689814,,,feat_lex,12498,6693.458982925999,False
communities,,,,,,1.851393354270355,feat_lex,12498,6693.458982925999,True
communities,,,,,,1.8210706826340852,feat_lex,12498,6693.458982925999,False
communities,,,,,1.8511080305735033,,feat_lex,12498,6693.458982925999,True
communities,,,,,1.8206153838177932,,feat_lex,12498,6693.458982925999,False
communities,1.8236257404597431,,,,,,feat_lex,12498,6693.458982925999,True
communities,1.8308358161200196,,,,,,feat_lex,12498,6693.458982925999,False
communities,,,1.8506034707469596,,,,feat_lex,12498,6693.458982925999,True
communities,,,1.8204911665658656,,,,feat_lex,12498,6693.458982925999,False
communities,,1.8503143219704696,,,,,feat_lex,12498,6693.458982925999,True
communities,,1.8200343454509866,,,,,feat_lex,12498,6693.458982925999,False
