dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.800474700456312,,,feat_lex,32400,4827.72921881,True
adult,,,,1.800573484654354,,,feat_lex,32400,4827.72921881,False
adult,,,,,,1.867575431108582,feat_lex,32400,4827.72921881,True
adult,,,,,,1.852888011209805,feat_lex,32400,4827.72921881,False
adult,,,,,1.8692613011467474,,feat_lex,32400,4827.72921881,True
adult,,,,,1.8553814792912597,,feat_lex,32400,4827.72921881,False
adult,1.8028148266535249,,,,,,feat_lex,32400,4827.72921881,True
adult,1.8026463792065204,,,,,,feat_lex,32400,4827.72921881,False
adult,,,1.8676537527189063,,,,feat_lex,32400,4827.72921881,True
adult,,,1.853075513941672,,,,feat_lex,32400,4827.72921881,False
adult,,1.869612913350468,,,,,feat_lex,32400,4827.72921881,True
adult,,1.8555340956543769,,,,,feat_lex,32400,4827.72921881,False
