dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
student,,,,1.72984125050656,,,feat_lex,4719,2776.845480119,True
student,,,,1.6626489591857558,,,feat_lex,4719,2776.845480119,False
student,,,,,,1.8132926422059183,feat_lex,4719,2776.845480119,True
student,,,,,,1.6633171584056772,feat_lex,4719,2776.845480119,False
student,,,,,1.812323217346241,,feat_lex,4719,2776.845480119,True
student,,,,,1.660758594947823,,feat_lex,4719,2776.845480119,False
student,1.7397203571194708,,,,,,feat_lex,4719,2776.845480119,True
student,1.67255866748291,,,,,,feat_lex,4719,2776.845480119,False
student,,,1.8234158697539242,,,,feat_lex,4719,2776.845480119,True
student,,,1.6720748769700458,,,,feat_lex,4719,2776.845480119,False
student,,1.8224252315652523,,,,,feat_lex,4719,2776.845480119,True
student,,1.6694958500955606,,,,,feat_lex,4719,2776.845480119,False
