dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
student,,,,1.7424827134918957,,,feat_nsga2,18998,1140.50251011,True
student,,,,1.5853030303030302,,,feat_nsga2,18998,1140.50251011,False
student,,,,,,1.833322901544702,feat_nsga2,18998,1140.50251011,True
student,,,,,,1.6076191349982052,feat_nsga2,18998,1140.50251011,False
student,,,,,1.8342860464169957,,feat_nsga2,18998,1140.50251011,True
student,,,,,1.7227412817892214,,feat_nsga2,18998,1140.50251011,False
student,1.7444999174752582,,,,,,feat_nsga2,18998,1140.50251011,True
student,1.5846227686054526,,,,,,feat_nsga2,18998,1140.50251011,False
student,,,1.8356768403466042,,,,feat_nsga2,18998,1140.50251011,True
student,,,1.6068450330081918,,,,feat_nsga2,18998,1140.50251011,False
student,,1.8351758700658256,,,,,feat_nsga2,18998,1140.50251011,True
student,,1.7227436216057286,,,,,feat_nsga2,18998,1140.50251011,False
