dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.8468469685685827,,,feat_nsga2,21924,3531.0825393749997,True
communities,,,,1.8103638842752976,,,feat_nsga2,21924,3531.0825393749997,False
communities,,,,,,1.8188246206919128,feat_nsga2,21924,3531.0825393749997,True
communities,,,,,,1.781266378451643,feat_nsga2,21924,3531.0825393749997,False
communities,,,,,1.8184222498421798,,feat_nsga2,21924,3531.0825393749997,True
communities,,,,,1.7807781775487572,,feat_nsga2,21924,3531.0825393749997,False
communities,1.847677349592154,,,,,,feat_nsga2,21924,3531.0825393749997,True
communities,1.8115062271845461,,,,,,feat_nsga2,21924,3531.0825393749997,False
communities,,,1.8213250907797645,,,,feat_nsga2,21924,3531.0825393749997,True
communities,,,1.784914563890955,,,,feat_nsga2,21924,3531.0825393749997,False
communities,,1.8209522686816473,,,,,feat_nsga2,21924,3531.0825393749997,True
communities,,1.7845397052170444,,,,,feat_nsga2,21924,3531.0825393749997,False
