dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.743608416633319,,,feat_nsga2,27690,3255.8293096810003,True
lawschool,,,,1.7386369801648176,,,feat_nsga2,27690,3255.8293096810003,False
lawschool,,,,,,1.7864367399077339,feat_nsga2,27690,3255.8293096810003,True
lawschool,,,,,,1.785176160234499,feat_nsga2,27690,3255.8293096810003,False
lawschool,,,,,1.8284478989258368,,feat_nsga2,27690,3255.8293096810003,True
lawschool,,,,,1.8259731500832983,,feat_nsga2,27690,3255.8293096810003,False
lawschool,1.742957660942344,,,,,,feat_nsga2,27690,3255.8293096810003,True
lawschool,1.7394873068231522,,,,,,feat_nsga2,27690,3255.8293096810003,False
lawschool,,,1.7861142189001713,,,,feat_nsga2,27690,3255.8293096810003,True
lawschool,,,1.7858453219980714,,,,feat_nsga2,27690,3255.8293096810003,False
lawschool,,1.828244515386975,,,,,feat_nsga2,27690,3255.8293096810003,True
lawschool,,1.8267714093446557,,,,,feat_nsga2,27690,3255.8293096810003,False
