dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.7193393945811328,,,feat_nsga2,6654,2756.456255178,True
adult,,,,1.7029697452341948,,,feat_nsga2,6654,2756.456255178,False
adult,,,,,,1.6981040887107957,feat_nsga2,6654,2756.456255178,True
adult,,,,,,1.722099932345039,feat_nsga2,6654,2756.456255178,False
adult,,,,,1.7481665745347337,,feat_nsga2,6654,2756.456255178,True
adult,,,,,1.7650783800345942,,feat_nsga2,6654,2756.456255178,False
adult,1.7207496904805992,,,,,,feat_nsga2,6654,2756.456255178,True
adult,1.7026669280789464,,,,,,feat_nsga2,6654,2756.456255178,False
adult,,,1.6981040887107957,,,,feat_nsga2,6654,2756.456255178,True
adult,,,1.722099932345039,,,,feat_nsga2,6654,2756.456255178,False
adult,,1.7481607025584427,,,,,feat_nsga2,6654,2756.456255178,True
adult,,1.765022572985021,,,,,feat_nsga2,6654,2756.456255178,False
