dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
student,,,,1.697841385137197,,,feat_random_p100_g0,12092,42.003956214,True
student,,,,1.67629760811579,,,feat_random_p100_g0,12092,42.003956214,False
student,,,,,,1.7592128718113709,feat_random_p100_g0,12092,42.003956214,True
student,,,,,,1.7179452963086197,feat_random_p100_g0,12092,42.003956214,False
student,,,,,1.770350943704832,,feat_random_p100_g0,12092,42.003956214,True
student,,,,,1.791512907571634,,feat_random_p100_g0,12092,42.003956214,False
student,1.6974370206223643,,,,,,feat_random_p100_g0,12092,42.003956214,True
student,1.676195543655187,,,,,,feat_random_p100_g0,12092,42.003956214,False
student,,,1.7597580489727989,,,,feat_random_p100_g0,12092,42.003956214,True
student,,,1.718068524331148,,,,feat_random_p100_g0,12092,42.003956214,False
student,,1.770977782233356,,,,,feat_random_p100_g0,12092,42.003956214,True
student,,1.7922078619908335,,,,,feat_random_p100_g0,12092,42.003956214,False
