dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.7883854738872176,,,feat_random_p100_g0,22727,385.91076616799995,True
adult,,,,1.7994303068481317,,,feat_random_p100_g0,22727,385.91076616799995,False
adult,,,,,,1.852532201364361,feat_random_p100_g0,22727,385.91076616799995,True
adult,,,,,,1.8424562231027461,feat_random_p100_g0,22727,385.91076616799995,False
adult,,,,,1.8685331080531549,,feat_random_p100_g0,22727,385.91076616799995,True
adult,,,,,1.85551438506037,,feat_random_p100_g0,22727,385.91076616799995,False
adult,1.7912666177547825,,,,,,feat_random_p100_g0,22727,385.91076616799995,True
adult,1.8032706418093731,,,,,,feat_random_p100_g0,22727,385.91076616799995,False
adult,,,1.8527276700837645,,,,feat_random_p100_g0,22727,385.91076616799995,True
adult,,,1.843279616960169,,,,feat_random_p100_g0,22727,385.91076616799995,False
adult,,1.8683392060822805,,,,,feat_random_p100_g0,22727,385.91076616799995,True
adult,,1.8560914864160878,,,,,feat_random_p100_g0,22727,385.91076616799995,False
