dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.8446107056945804,,,feat_random_p100_g0,32400,490.258067983,True
communities,,,,1.8307994636791205,,,feat_random_p100_g0,32400,490.258067983,False
communities,,,,,,1.8470304472914247,feat_random_p100_g0,32400,490.258067983,True
communities,,,,,,1.8259730870448518,feat_random_p100_g0,32400,490.258067983,False
communities,,,,,1.8466782290591361,,feat_random_p100_g0,32400,490.258067983,True
communities,,,,,1.8256352093968329,,feat_random_p100_g0,32400,490.258067983,False
communities,1.8427769912402343,,,,,,feat_random_p100_g0,32400,490.258067983,True
communities,1.82897197838322,,,,,,feat_random_p100_g0,32400,490.258067983,False
communities,,,1.844082049698382,,,,feat_random_p100_g0,32400,490.258067983,True
communities,,,1.8234685934292294,,,,feat_random_p100_g0,32400,490.258067983,False
communities,,1.8437300583689782,,,,,feat_random_p100_g0,32400,490.258067983,True
communities,,1.8231263334493955,,,,,feat_random_p100_g0,32400,490.258067983,False
