dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.7760502178002695,,,feat_random_p100_g0,4866,369.296921602,True
lawschool,,,,1.7866035720760047,,,feat_random_p100_g0,4866,369.296921602,False
lawschool,,,,,,1.8507582614148688,feat_random_p100_g0,4866,369.296921602,True
lawschool,,,,,,1.8812563068991897,feat_random_p100_g0,4866,369.296921602,False
lawschool,,,,,1.850242806004715,,feat_random_p100_g0,4866,369.296921602,True
lawschool,,,,,1.8835106771400656,,feat_random_p100_g0,4866,369.296921602,False
lawschool,1.776698854601691,,,,,,feat_random_p100_g0,4866,369.296921602,True
lawschool,1.7867509941011601,,,,,,feat_random_p100_g0,4866,369.296921602,False
lawschool,,,1.8521979722720698,,,,feat_random_p100_g0,4866,369.296921602,True
lawschool,,,1.8818884017531783,,,,feat_random_p100_g0,4866,369.296921602,False
lawschool,,1.8516398510747825,,,,,feat_random_p100_g0,4866,369.296921602,True
lawschool,,1.8838125366806586,,,,,feat_random_p100_g0,4866,369.296921602,False
