dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.7842212661923051,,,feat_tourn,12092,5730.900139773,True
lawschool,,,,1.761849543486034,,,feat_tourn,12092,5730.900139773,False
lawschool,,,,,,1.8697595562252247,feat_tourn,12092,5730.900139773,True
lawschool,,,,,,1.8225943909706184,feat_tourn,12092,5730.900139773,False
lawschool,,,,,1.8695552729013527,,feat_tourn,12092,5730.900139773,True
lawschool,,,,,1.8222057527308597,,feat_tourn,12092,5730.900139773,False
lawschool,1.7829583255338226,,,,,,feat_tourn,12092,5730.900139773,True
lawschool,1.7588961246721682,,,,,,feat_tourn,12092,5730.900139773,False
lawschool,,,1.8683096902506997,,,,feat_tourn,12092,5730.900139773,True
lawschool,,,1.8198360723024432,,,,feat_tourn,12092,5730.900139773,False
lawschool,,1.868111658095901,,,,,feat_tourn,12092,5730.900139773,True
lawschool,,1.8194958845314564,,,,,feat_tourn,12092,5730.900139773,False
