dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.8107683386487594,,,feat_tourn,15860,8582.613588108,True
communities,,,,1.7792524019901814,,,feat_tourn,15860,8582.613588108,False
communities,,,,,,1.7733312249737934,feat_tourn,15860,8582.613588108,True
communities,,,,,,1.678790557752994,feat_tourn,15860,8582.613588108,False
communities,,,,,1.772539912393628,,feat_tourn,15860,8582.613588108,True
communities,,,,,1.6766234187123727,,feat_tourn,15860,8582.613588108,False
communities,1.8266520822135826,,,,,,feat_tourn,15860,8582.613588108,True
communities,1.8011344210588316,,,,,,feat_tourn,15860,8582.613588108,False
communities,,,1.7896621835804571,,,,feat_tourn,15860,8582.613588108,True
communities,,,1.6999801820162543,,,,feat_tourn,15860,8582.613588108,False
communities,,1.788841639180905,,,,,feat_tourn,15860,8582.613588108,True
communities,,1.697809124997856,,,,,feat_tourn,15860,8582.613588108,False
