dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.788757992959428,,,feat_tourn,29759,6200.681522688,True
lawschool,,,,1.744032535630478,,,feat_tourn,29759,6200.681522688,False
lawschool,,,,,,1.7928502156335357,feat_tourn,29759,6200.681522688,True
lawschool,,,,,,1.7238186483251852,feat_tourn,29759,6200.681522688,False
lawschool,,,,,1.8016100010511473,,feat_tourn,29759,6200.681522688,True
lawschool,,,,,1.7572677838552173,,feat_tourn,29759,6200.681522688,False
lawschool,1.786255325176699,,,,,,feat_tourn,29759,6200.681522688,True
lawschool,1.7477707367362,,,,,,feat_tourn,29759,6200.681522688,False
lawschool,,,1.7903397578584588,,,,feat_tourn,29759,6200.681522688,True
lawschool,,,1.7273529296898569,,,,feat_tourn,29759,6200.681522688,False
lawschool,,1.7984721973050402,,,,,feat_tourn,29759,6200.681522688,True
lawschool,,1.7608177007400079,,,,,feat_tourn,29759,6200.681522688,False
