dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.764966332608113,,,feat_tourn,7376,6196.976010554999,True
adult,,,,1.7671094763372162,,,feat_tourn,7376,6196.976010554999,False
adult,,,,,,1.8220490075622728,feat_tourn,7376,6196.976010554999,True
adult,,,,,,1.8418037020227938,feat_tourn,7376,6196.976010554999,False
adult,,,,,1.822696294148557,,feat_tourn,7376,6196.976010554999,True
adult,,,,,1.846690588506664,,feat_tourn,7376,6196.976010554999,False
adult,1.7666057917672955,,,,,,feat_tourn,7376,6196.976010554999,True
adult,1.7694293356289994,,,,,,feat_tourn,7376,6196.976010554999,False
adult,,,1.8221412097990741,,,,feat_tourn,7376,6196.976010554999,True
adult,,,1.8420735146154152,,,,feat_tourn,7376,6196.976010554999,False
adult,,1.8226599381422464,,,,,feat_tourn,7376,6196.976010554999,True
adult,,1.8467840359654588,,,,,feat_tourn,7376,6196.976010554999,False
