dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
student,,,,1.8014426779584345,,,feat_tourn,9675,1947.6931428389998,True
student,,,,1.654885343332313,,,feat_tourn,9675,1947.6931428389998,False
student,,,,,,1.891064389193374,feat_tourn,9675,1947.6931428389998,True
student,,,,,,1.6989703013666833,feat_tourn,9675,1947.6931428389998,False
student,,,,,1.8905224251103525,,feat_tourn,9675,1947.6931428389998,True
student,,,,,1.6944931516112367,,feat_tourn,9675,1947.6931428389998,False
student,1.8078336198632026,,,,,,feat_tourn,9675,1947.6931428389998,True
student,1.661825223916727,,,,,,feat_tourn,9675,1947.6931428389998,False
student,,,1.897773147612429,,,,feat_tourn,9675,1947.6931428389998,True
student,,,1.706071360665567,,,,feat_tourn,9675,1947.6931428389998,False
student,,1.8972308954497823,,,,,feat_tourn,9675,1947.6931428389998,True
student,,1.7015690494128048,,,,,feat_tourn,9675,1947.6931428389998,False
