dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.210053002959726,,,gerryfair,16695,1324.287852598,True
communities,,,,1.2453014585923836,,,gerryfair,16695,1324.287852598,False
communities,,,,,,1.7902321530904914,gerryfair,16695,1324.287852598,True
communities,,,,,,1.6699025388718476,gerryfair,16695,1324.287852598,False
communities,,,,,1.8647044267362431,,gerryfair,16695,1324.287852598,True
communities,,,,,1.7731498937299124,,gerryfair,16695,1324.287852598,False
communities,1.169378622773878,,,,,,gerryfair,16695,1324.287852598,True
communities,1.2102065860677278,,,,,,gerryfair,16695,1324.287852598,False
communities,,,1.73021566777324,,,,gerryfair,16695,1324.287852598,True
communities,,,1.6227744359223795,,,,gerryfair,16695,1324.287852598,False
communities,,1.8021076690658675,,,,,gerryfair,16695,1324.287852598,True
communities,,1.7231669715320441,,,,,gerryfair,16695,1324.287852598,False
