dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.3913740170751194,,,gerryfair,21924,940.528353854,True
lawschool,,,,1.3858531818487545,,,gerryfair,21924,940.528353854,False
lawschool,,,,,,1.822734646919454,gerryfair,21924,940.528353854,True
lawschool,,,,,,1.86455684740743,gerryfair,21924,940.528353854,False
lawschool,,,,,1.8598296700572339,,gerryfair,21924,940.528353854,True
lawschool,,,,,1.8945072395484153,,gerryfair,21924,940.528353854,False
lawschool,1.3815082474880127,,,,,,gerryfair,21924,940.528353854,True
lawschool,1.3742136856773728,,,,,,gerryfair,21924,940.528353854,False
lawschool,,,1.8101605981702702,,,,gerryfair,21924,940.528353854,True
lawschool,,,1.8482920607956388,,,,gerryfair,21924,940.528353854,False
lawschool,,1.846894248142647,,,,,gerryfair,21924,940.528353854,True
lawschool,,1.8784357077325073,,,,,gerryfair,21924,940.528353854,False
