dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
student,,,,1.3952769468500354,,,gerryfair,2917,279.957003234,True
student,,,,1.4279917484375861,,,gerryfair,2917,279.957003234,False
student,,,,,,1.7862212626280523,gerryfair,2917,279.957003234,True
student,,,,,,1.641613659204037,gerryfair,2917,279.957003234,False
student,,,,,1.814901204259132,,gerryfair,2917,279.957003234,True
student,,,,,1.7635550990653739,,gerryfair,2917,279.957003234,False
student,1.3965603917879346,,,,,,gerryfair,2917,279.957003234,True
student,1.4212352848716485,,,,,,gerryfair,2917,279.957003234,False
student,,,1.792059518958829,,,,gerryfair,2917,279.957003234,True
student,,,1.6340231211869345,,,,gerryfair,2917,279.957003234,False
student,,1.8205239684280872,,,,,gerryfair,2917,279.957003234,True
student,,1.7538962629515331,,,,,gerryfair,2917,279.957003234,False
