dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.363385847248091,,,gerryfair,9296,1491.890240265,True
adult,,,,1.376873742721787,,,gerryfair,9296,1491.890240265,False
adult,,,,,,1.8786604675075473,gerryfair,9296,1491.890240265,True
adult,,,,,,1.804539161639244,gerryfair,9296,1491.890240265,False
adult,,,,,1.9005048043802668,,gerryfair,9296,1491.890240265,True
adult,,,,,1.8404591217703696,,gerryfair,9296,1491.890240265,False
adult,1.341886136095314,,,,,,gerryfair,9296,1491.890240265,True
adult,1.3688162274908011,,,,,,gerryfair,9296,1491.890240265,False
adult,,,1.851820710358475,,,,gerryfair,9296,1491.890240265,True
adult,,,1.7944417985845273,,,,gerryfair,9296,1491.890240265,False
adult,,1.8732239499336019,,,,,gerryfair,9296,1491.890240265,True
adult,,1.8297944830242772,,,,,gerryfair,9296,1491.890240265,False
