dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.2457397927181884,,,gerryfair_xgb,32400,1216.976259325,True
lawschool,,,,1.3019129841442947,,,gerryfair_xgb,32400,1216.976259325,False
lawschool,,,,,,1.9150694254257774,gerryfair_xgb,32400,1216.976259325,True
lawschool,,,,,,1.8330515371001015,gerryfair_xgb,32400,1216.976259325,False
lawschool,,,,,1.9416178803980602,,gerryfair_xgb,32400,1216.976259325,True
lawschool,,,,,1.8700168570849671,,gerryfair_xgb,32400,1216.976259325,False
lawschool,1.2375820390184793,,,,,,gerryfair_xgb,32400,1216.976259325,True
lawschool,1.297727318931095,,,,,,gerryfair_xgb,32400,1216.976259325,False
lawschool,,,1.902826028199974,,,,gerryfair_xgb,32400,1216.976259325,True
lawschool,,,1.827601052844047,,,,gerryfair_xgb,32400,1216.976259325,False
lawschool,,1.9293577644945499,,,,,gerryfair_xgb,32400,1216.976259325,True
lawschool,,1.8650251229700818,,,,,gerryfair_xgb,32400,1216.976259325,False
