dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.3053838450761426,,,gerryfair_xgb,4866,1415.20647241,True
adult,,,,1.3194204803756986,,,gerryfair_xgb,4866,1415.20647241,False
adult,,,,,,1.9455778600782527,gerryfair_xgb,4866,1415.20647241,True
adult,,,,,,1.8620688211081609,gerryfair_xgb,4866,1415.20647241,False
adult,,,,,1.9571130023690573,,gerryfair_xgb,4866,1415.20647241,True
adult,,,,,1.8882002437869565,,gerryfair_xgb,4866,1415.20647241,False
adult,1.29053419446513,,,,,,gerryfair_xgb,4866,1415.20647241,True
adult,1.3096524594604277,,,,,,gerryfair_xgb,4866,1415.20647241,False
adult,,,1.924568682743898,,,,gerryfair_xgb,4866,1415.20647241,True
adult,,,1.849217431823688,,,,gerryfair_xgb,4866,1415.20647241,False
adult,,1.9362472330787652,,,,,gerryfair_xgb,4866,1415.20647241,True
adult,,1.874955710136845,,,,,gerryfair_xgb,4866,1415.20647241,False
