dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.054460931292689,,,gerryfair_xgb,871,1143.68647797,True
communities,,,,1.1343076241558048,,,gerryfair_xgb,871,1143.68647797,False
communities,,,,,,1.9386299628155936,gerryfair_xgb,871,1143.68647797,True
communities,,,,,,1.6927387776375167,gerryfair_xgb,871,1143.68647797,False
communities,,,,,1.9671223916100236,,gerryfair_xgb,871,1143.68647797,True
communities,,,,,1.7638381675466213,,gerryfair_xgb,871,1143.68647797,False
communities,1.0418566171600727,,,,,,gerryfair_xgb,871,1143.68647797,True
communities,1.1179007604047373,,,,,,gerryfair_xgb,871,1143.68647797,False
communities,,,1.915797917757465,,,,gerryfair_xgb,871,1143.68647797,True
communities,,,1.667812441496476,,,,gerryfair_xgb,871,1143.68647797,False
communities,,1.9440334197321405,,,,,gerryfair_xgb,871,1143.68647797,True
communities,,1.7383073200035755,,,,,gerryfair_xgb,871,1143.68647797,False
