dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
student,,,,1.0,,,gerryfair_xgb,9271,239.684086472,True
student,,,,1.3969070714107288,,,gerryfair_xgb,9271,239.684086472,False
student,,,,,,2.0,gerryfair_xgb,9271,239.684086472,True
student,,,,,,1.6134723903044492,gerryfair_xgb,9271,239.684086472,False
student,,,,,2.0,,gerryfair_xgb,9271,239.684086472,True
student,,,,,1.729680354287661,,gerryfair_xgb,9271,239.684086472,False
student,1.0,,,,,,gerryfair_xgb,9271,239.684086472,True
student,1.3658837901262144,,,,,,gerryfair_xgb,9271,239.684086472,False
student,,,2.0,,,,gerryfair_xgb,9271,239.684086472,True
student,,,1.5774419146510499,,,,gerryfair_xgb,9271,239.684086472,False
student,,2.0,,,,,gerryfair_xgb,9271,239.684086472,True
student,,1.6910221800685639,,,,,gerryfair_xgb,9271,239.684086472,False
